"count_id","line","species_id","site_code","liana","count"
82722,7,2249,"BANYONG","L",1
82723,8,2250,"BANYONG","L",1
82724,9,2300,"BANYONG","L",1
82725,5,2455,"BANYONG","",1
82726,5,2458,"BANYONG","",1
82727,2,2569,"BANYONG","",1
82728,6,2576,"BANYONG","",1
82729,2,2583,"BANYONG","",1
82730,5,2583,"BANYONG","",1
82731,7,2583,"BANYONG","",2
82732,5,2607,"BANYONG","",1
82733,8,2607,"BANYONG","",1
82734,6,2634,"BANYONG","",1
82735,9,2634,"BANYONG","",1
82736,7,2706,"BANYONG","",1
82737,2,2760,"BANYONG","L",1
82738,7,2761,"BANYONG","L",1
82739,8,2762,"BANYONG","L",1
82740,1,3016,"BANYONG","L",2
82741,1,3017,"BANYONG","L",1
82742,3,3018,"BANYONG","L",1
82743,5,3019,"BANYONG","L",2
82744,3,3023,"BANYONG","L",3
82745,9,3039,"BANYONG","",1
82746,3,3044,"BANYONG","",1
82747,4,3044,"BANYONG","",1
82748,5,3044,"BANYONG","",2
82749,6,3044,"BANYONG","",1
82750,9,3155,"BANYONG","",1
82751,10,3155,"BANYONG","",1
82752,3,3167,"BANYONG","",1
82753,1,3180,"BANYONG","",1
82754,1,3184,"BANYONG","",1
82755,1,3207,"BANYONG","",2
82756,4,3418,"BANYONG","",1
82757,5,3418,"BANYONG","",1
82758,1,3550,"BANYONG","",1
82759,2,3550,"BANYONG","",1
82760,3,3550,"BANYONG","",1
82761,9,3550,"BANYONG","",2
82762,4,3569,"BANYONG","",1
82763,1,3578,"BANYONG","",1
82764,2,3578,"BANYONG","",3
82765,3,3578,"BANYONG","",2
82766,1,3579,"BANYONG","",1
82767,2,3579,"BANYONG","",2
82768,4,3579,"BANYONG","",2
82769,5,3580,"BANYONG","",1
82770,9,3581,"BANYONG","",1
82771,10,3584,"BANYONG","",1
82772,4,3588,"BANYONG","",1
82773,5,3588,"BANYONG","",2
82774,8,3557,"BANYONG","",1
82775,2,3651,"BANYONG","",1
82776,3,3651,"BANYONG","",1
82777,4,3684,"BANYONG","",1
82778,5,3684,"BANYONG","",2
82779,10,3685,"BANYONG","",1
82780,9,3753,"BANYONG","",1
82781,7,3813,"BANYONG","",2
82782,8,3814,"BANYONG","",1
82783,2,3864,"BANYONG","L",2
82784,3,3864,"BANYONG","L",5
82785,9,3864,"BANYONG","L",2
82786,1,3878,"BANYONG","",1
82787,1,3906,"BANYONG","",2
82788,3,3906,"BANYONG","",1
82789,4,3906,"BANYONG","",1
82790,5,3906,"BANYONG","",3
82791,6,3906,"BANYONG","",4
82792,7,3906,"BANYONG","",1
82793,8,3906,"BANYONG","",2
82794,10,3906,"BANYONG","",3
82795,5,3909,"BANYONG","",1
82796,6,3909,"BANYONG","",1
82797,6,3963,"BANYONG","",1
82798,6,3975,"BANYONG","",2
82799,3,4069,"BANYONG","",1
82800,1,4111,"BANYONG","L",1
82801,10,4146,"BANYONG","",3
82802,2,4158,"BANYONG","",1
82803,8,4158,"BANYONG","",1
82804,1,4317,"BANYONG","",1
82805,3,4318,"BANYONG","",1
82806,4,4319,"BANYONG","L",2
82807,5,4319,"BANYONG","L",1
82808,7,4319,"BANYONG","L",1
82809,8,4319,"BANYONG","L",1
82810,7,4321,"BANYONG","L",1
82811,9,4322,"BANYONG","L",1
82812,9,4440,"BANYONG","L",1
82813,9,4462,"BANYONG","",1
82814,3,4762,"BANYONG","",1
82815,9,4809,"BANYONG","",1
82816,1,4829,"BANYONG","",1
82817,7,4855,"BANYONG","",1
82818,9,4921,"BANYONG","L",1
82819,6,4932,"BANYONG","",1
82820,1,4982,"BANYONG","",1
82821,4,4982,"BANYONG","",1
82822,9,4996,"BANYONG","",1
82823,2,4997,"BANYONG","",2
82824,4,4997,"BANYONG","",1
82825,7,4997,"BANYONG","",1
82826,10,5004,"BANYONG","",1
82827,4,5005,"BANYONG","",1
82828,5,5024,"BANYONG","L",1
82829,5,5025,"BANYONG","L",1
82830,4,5026,"BANYONG","L",1
82831,10,5046,"BANYONG","",1
82832,5,5149,"BANYONG","",1
82833,5,5537,"BANYONG","",1
82834,6,5537,"BANYONG","",1
82835,7,5537,"BANYONG","",1
82836,5,5557,"BANYONG","",1
82837,8,5557,"BANYONG","",1
82838,7,5559,"BANYONG","L",1
82839,5,5620,"BANYONG","L",1
82840,7,5621,"BANYONG","L",1
82841,8,5622,"BANYONG","L",2
82842,7,5764,"BANYONG","L",1
82843,2,5857,"BANYONG","",2
82844,3,5857,"BANYONG","",1
82845,4,5857,"BANYONG","",2
82846,10,5857,"BANYONG","",1
82847,6,6033,"BANYONG","",1
82848,2,6069,"BANYONG","",1
82849,3,6095,"BANYONG","",2
82850,6,6095,"BANYONG","",1
82851,7,6095,"BANYONG","",2
82852,8,6095,"BANYONG","",1
82853,4,6166,"BANYONG","",1
82854,5,6166,"BANYONG","",2
82855,7,6166,"BANYONG","",2
82856,8,6166,"BANYONG","",1
82857,3,6269,"BANYONG","L",1
82858,9,6277,"BANYONG","",1
82859,2,6278,"BANYONG","",1
82860,3,6278,"BANYONG","",3
82861,8,6423,"BANYONG","",1
82862,1,6539,"BANYONG","",2
82863,3,6539,"BANYONG","",1
82864,5,6539,"BANYONG","",2
82865,4,6808,"BANYONG","",2
82866,8,6808,"BANYONG","",1
82867,9,6808,"BANYONG","",2
82868,9,6813,"BANYONG","",2
82869,4,7219,"BANYONG","",1
82870,7,7301,"BANYONG","",1
82871,8,7302,"BANYONG","",1
82872,6,7317,"BANYONG","",2
82873,7,7317,"BANYONG","",1
82874,8,7317,"BANYONG","",1
82875,9,7317,"BANYONG","",1
82876,4,7318,"BANYONG","",1
82877,3,7345,"BANYONG","",1
82878,5,7345,"BANYONG","",2
82879,2,7347,"BANYONG","",1
82880,4,7347,"BANYONG","",2
82881,7,7347,"BANYONG","",1
82882,1,7348,"BANYONG","",1
82883,3,7348,"BANYONG","",1
82884,6,7348,"BANYONG","",1
82885,8,7348,"BANYONG","",1
82886,7,7349,"BANYONG","",1
82887,8,7349,"BANYONG","",1
82888,1,7420,"BANYONG","",2
82889,10,7420,"BANYONG","",1
82890,9,7421,"BANYONG","",2
82891,2,7423,"BANYONG","",1
82892,6,7423,"BANYONG","",1
82893,9,7603,"BANYONG","",1
82894,10,7603,"BANYONG","",1
82895,3,8110,"BANYONG","",1
82896,6,8110,"BANYONG","",1
82897,7,8130,"BANYONG","",1
82898,2,8147,"BANYONG","",2
82899,4,8147,"BANYONG","",2
82900,5,8147,"BANYONG","",1
82901,6,8168,"BANYONG","",2
82902,3,8197,"BANYONG","",1
82903,4,8197,"BANYONG","",1
82904,8,8197,"BANYONG","",1
82905,4,8319,"BANYONG","",1
82906,4,8566,"BANYONG","",1
82907,9,8574,"BANYONG","",1
82908,10,8575,"BANYONG","",2
82909,2,8576,"BANYONG","",1
82910,4,8576,"BANYONG","",1
82911,5,8576,"BANYONG","",1
82912,6,8576,"BANYONG","",1
82913,7,8576,"BANYONG","",1
82914,7,8576,"BANYONG","",1
82915,5,8577,"BANYONG","",1
82916,3,8602,"BANYONG","",1
82917,7,8629,"BANYONG","",1
82918,3,8735,"BANYONG","",3
82919,4,8735,"BANYONG","",3
82920,6,8818,"BANYONG","",1
82921,9,8859,"BANYONG","",1
82922,10,8860,"BANYONG","",3
82923,5,8861,"BANYONG","",2
82924,7,8861,"BANYONG","",1
82925,3,8865,"BANYONG","",2
82926,4,8865,"BANYONG","",2
82927,8,8865,"BANYONG","",2
82928,2,8918,"BANYONG","",1
82929,8,9036,"BANYONG","",1
82930,3,9037,"BANYONG","",1
82931,6,9037,"BANYONG","",1
82932,10,9039,"BANYONG","",2
82933,3,9042,"BANYONG","",1
82934,7,9043,"BANYONG","",1
82935,6,9046,"BANYONG","",1
82936,10,9174,"BANYONG","",9
82937,9,9175,"BANYONG","",1
82938,9,9175,"BANYONG","",1
82939,5,9176,"BANYONG","",2
82940,5,9178,"BANYONG","",1
82941,10,9178,"BANYONG","",2
82942,9,9179,"BANYONG","",1
82943,3,9185,"BANYONG","",1
82944,4,9185,"BANYONG","",3
82945,7,9185,"BANYONG","",1
82946,3,9187,"BANYONG","",1
82947,3,9187,"BANYONG","",1
82948,4,9187,"BANYONG","",2
82949,3,9188,"BANYONG","",1
82950,5,9188,"BANYONG","",1
82951,5,9188,"BANYONG","",1
82952,7,9188,"BANYONG","",1
82953,8,9188,"BANYONG","",1
82954,4,9189,"BANYONG","",1
82955,6,9190,"BANYONG","",1
82956,5,9191,"BANYONG","",3
82957,8,9191,"BANYONG","",1
82958,9,9192,"BANYONG","",1
82959,10,9192,"BANYONG","",1
82960,1,9198,"BANYONG","",1
82961,4,9198,"BANYONG","",2
82962,7,9198,"BANYONG","",1
82963,8,9198,"BANYONG","",3
82964,10,9199,"BANYONG","",1
82965,6,9228,"BANYONG","",1
82966,2,9241,"BANYONG","",1
82967,3,9262,"BANYONG","",1
82968,3,9276,"BANYONG","",1
82969,2,9394,"BANYONG","",1
82970,3,9394,"BANYONG","",1
82971,4,9394,"BANYONG","",1
82972,10,9394,"BANYONG","",1
82973,7,9395,"BANYONG","",1
82974,2,9604,"BANYONG","",1
82975,1,9667,"BANYONG","",2
82976,2,9667,"BANYONG","",4
82977,3,9667,"BANYONG","",1
82978,4,9667,"BANYONG","",1
82979,5,9667,"BANYONG","",4
82980,6,9667,"BANYONG","",2
82981,7,9667,"BANYONG","",1
82982,1,9668,"BANYONG","",1
82983,4,9668,"BANYONG","",1
82984,6,9668,"BANYONG","",1
82985,8,9668,"BANYONG","",1
82986,4,9669,"BANYONG","",1
82987,7,9669,"BANYONG","",1
82988,9,9670,"BANYONG","",4
82989,10,9670,"BANYONG","",3
82990,10,9671,"BANYONG","",1
82991,9,9696,"BANYONG","L",2
82992,2,141,"BELINGA","",1
82993,4,141,"BELINGA","",1
82994,3,143,"BELINGA","",1
82995,3,165,"BELINGA","",1
82996,1,337,"BELINGA","L",1
82997,1,378,"BELINGA","",2
82998,2,378,"BELINGA","",2
82999,3,378,"BELINGA","",1
83000,5,378,"BELINGA","",1
83001,3,380,"BELINGA","L",1
83002,5,488,"BELINGA","L",1
83003,1,489,"BELINGA","L",1
83004,1,495,"BELINGA","L",3
83005,5,495,"BELINGA","L",1
83006,1,541,"BELINGA","L",3
83007,5,661,"BELINGA","L",3
83008,3,690,"BELINGA","",1
83009,1,1316,"BELINGA","",1
83010,1,1835,"BELINGA","",1
83011,2,1835,"BELINGA","",1
83012,6,2288,"BELINGA","L",1
83013,5,2309,"BELINGA","L",1
83014,3,2383,"BELINGA","",1
83015,4,2383,"BELINGA","",1
83016,2,2477,"BELINGA","",1
83017,5,2477,"BELINGA","",1
83018,1,2563,"BELINGA","",1
83019,5,2576,"BELINGA","",1
83020,5,2589,"BELINGA","",1
83021,1,2590,"BELINGA","",1
83022,5,2590,"BELINGA","",1
83023,1,2759,"BELINGA","",1
83024,2,2759,"BELINGA","",7
83025,2,2793,"BELINGA","L",1
83026,3,2793,"BELINGA","L",1
83027,4,3003,"BELINGA","L",1
83028,5,3003,"BELINGA","L",1
83029,1,3013,"BELINGA","L",1
83030,2,3013,"BELINGA","L",1
83031,2,3016,"BELINGA","L",1
83032,3,3028,"BELINGA","",1
83033,2,3149,"BELINGA","",1
83034,1,3175,"BELINGA","",1
83035,3,3180,"BELINGA","",1
83036,1,3210,"BELINGA","",2
83037,2,3210,"BELINGA","",1
83038,3,3210,"BELINGA","",1
83039,4,3210,"BELINGA","",1
83040,1,3502,"BELINGA","",2
83041,2,3502,"BELINGA","",1
83042,4,3502,"BELINGA","",4
83043,2,3548,"BELINGA","",2
83044,1,3551,"BELINGA","",3
83045,3,3551,"BELINGA","",2
83046,5,3551,"BELINGA","",1
83047,1,3562,"BELINGA","",1
83048,1,3563,"BELINGA","",1
83049,2,3564,"BELINGA","",1
83050,3,3685,"BELINGA","",1
83051,3,3707,"BELINGA","",1
83052,1,3752,"BELINGA","",3
83053,4,3752,"BELINGA","",1
83054,5,3752,"BELINGA","",2
83055,1,3762,"BELINGA","",1
83056,2,3762,"BELINGA","",1
83057,3,3762,"BELINGA","",2
83058,1,3975,"BELINGA","",3
83059,2,3975,"BELINGA","",1
83060,3,3975,"BELINGA","",1
83061,4,3975,"BELINGA","",1
83062,5,3975,"BELINGA","",1
83063,3,4029,"BELINGA","L",1
83064,5,4073,"BELINGA","",1
83065,3,4145,"BELINGA","",1
83066,4,4444,"BELINGA","",1
83067,4,4459,"BELINGA","",1
83068,5,4461,"BELINGA","",1
83069,1,4560,"BELINGA","",1
83070,3,4560,"BELINGA","",1
83071,5,4560,"BELINGA","",3
83072,5,4930,"BELINGA","",1
83073,5,4931,"BELINGA","",1
83074,2,5046,"BELINGA","",1
83075,2,5051,"BELINGA","",1
83076,5,5052,"BELINGA","",1
83077,4,5141,"BELINGA","",1
83078,4,6035,"BELINGA","",1
83079,4,6035,"BELINGA","",1
83080,5,6035,"BELINGA","",1
83081,3,6093,"BELINGA","",1
83082,2,6094,"BELINGA","",1
83083,1,6157,"BELINGA","",1
83084,2,6157,"BELINGA","",4
83085,3,6157,"BELINGA","",2
83086,5,6157,"BELINGA","",6
83087,1,7296,"BELINGA","",1
83088,5,7297,"BELINGA","",2
83089,5,7312,"BELINGA","L",3
83090,3,7330,"BELINGA","",1
83091,1,7343,"BELINGA","",1
83092,5,7343,"BELINGA","",1
83093,3,7347,"BELINGA","",1
83094,3,7891,"BELINGA","",1
83095,1,7901,"BELINGA","",1
83096,2,7903,"BELINGA","",2
83097,4,7903,"BELINGA","",1
83098,1,8217,"BELINGA","",1
83099,5,8303,"BELINGA","",1
83100,5,8366,"BELINGA","",1
83101,5,8367,"BELINGA","",1
83102,1,8578,"BELINGA","",1
83103,3,8579,"BELINGA","",3
83104,4,8579,"BELINGA","",1
83105,5,8615,"BELINGA","",1
83106,3,8628,"BELINGA","",1
83107,2,8672,"BELINGA","",1
83108,4,8672,"BELINGA","",1
83109,5,8672,"BELINGA","",1
83110,4,8866,"BELINGA","",1
83111,3,9031,"BELINGA","",1
83112,5,9045,"BELINGA","",1
83113,4,9058,"BELINGA","",1
83114,1,9181,"BELINGA","",1
83115,3,9181,"BELINGA","",1
83116,4,9181,"BELINGA","",1
83117,3,9193,"BELINGA","",1
83118,1,9203,"BELINGA","",1
83119,1,9229,"BELINGA","",3
83120,2,9229,"BELINGA","",2
83121,3,9229,"BELINGA","",1
83122,4,9229,"BELINGA","",1
83123,1,9248,"BELINGA","",1
83124,3,9248,"BELINGA","",2
83125,4,9248,"BELINGA","",2
83126,5,9248,"BELINGA","",2
83127,3,9667,"BELINGA","",7
