"Latin","gx","gy"
"Acer rubrum",188,377.4
"Acer rubrum",189.8,381.4
"Acer rubrum",197,388.4
"Acer rubrum",196.6,476.7
"Acer rubrum",191.7,591.8
"Acer rubrum",202.2,7.4
"Acer rubrum",215.7,35.4
"Acer rubrum",211.9,50.2
"Acer rubrum",219.3,67.4
"Acer rubrum",206.5,218.8
"Acer rubrum",204.7,336.1
"Acer rubrum",208.8,324.2
"Acer rubrum",203.2,341.1
"Acer rubrum",205.4,412.2
"Acer rubrum",219.1,529.2
"Acer rubrum",211.5,559.3
"Acer rubrum",202.6,565
"Acer rubrum",215.1,565.4
"Acer rubrum",240,25.5
"Acer rubrum",225.4,59.2
"Acer rubrum",230.3,110
"Acer rubrum",239.6,317.8
"Acer rubrum",229.9,328.3
"Acer rubrum",221.2,324.1
"Acer rubrum",221.8,355.2
"Acer rubrum",232.9,366.7
"Acer rubrum",220.6,362.6
"Acer rubrum",227.6,368.2
"Acer rubrum",223.9,571.6
"Acer rubrum",237.9,584.4
"Acer rubrum",224.3,623.7
"Acer rubrum",250.9,141.9
"Acer rubrum",241.3,273
"Acer rubrum",248.1,280.9
"Acer rubrum",252.1,313.6
"Acer rubrum",252,312.9
"Acer rubrum",245.7,317.6
"Acer rubrum",247.2,319.9
"Acer rubrum",254.7,504.7
"Acer rubrum",251.1,592.1
"Acer rubrum",249.4,618.9
"Acer rubrum",244,624
"Acer rubrum",240,631.2
"Acer rubrum",256.4,638.2
"Acer rubrum",266,100.2
"Acer rubrum",271.8,104.8
"Acer rubrum",262,303.3
"Acer rubrum",279.9,631.9
"Acer rubrum",286.7,119.9
"Acer rubrum",291.1,300.3
"Acer rubrum",290.6,300
"Acer rubrum",299,314.5
"Acer rubrum",294.3,315.6
"Acer rubrum",290,330.5
"Acer rubrum",299.1,358.8
"Acer rubrum",291.4,376.3
"Acer rubrum",285,380
"Acer rubrum",280.1,441.1
"Acer rubrum",285.3,455.4
"Acer rubrum",280.5,504.3
"Acer rubrum",299.1,511.4
"Acer rubrum",295.5,525.4
"Acer rubrum",299.1,590.2
"Acer rubrum",305.7,135.9
"Acer rubrum",308,296
"Acer rubrum",303.9,335.3
"Acer rubrum",302.4,376.3
"Acer rubrum",311.4,442.2
"Acer rubrum",313.3,502.4
"Acer rubrum",320.8,273.4
"Acer rubrum",334.5,379.8
"Acer rubrum",324.4,502.6
"Acer rubrum",320.5,626.4
"Acer rubrum",352.9,227.8
"Acer rubrum",343.3,259.5
"Acer rubrum",353.4,294
"Acer rubrum",357.7,323.8
"Acer rubrum",356.9,398.6
"Acer rubrum",353.1,396.2
"Acer rubrum",349.1,391.4
"Acer rubrum",350.4,393.9
"Acer rubrum",379.1,18.3
"Acer rubrum",373.4,85.2
"Acer rubrum",372,204.2
"Acer rubrum",379.5,276.6
"Acer rubrum",371.5,283.6
"Acer rubrum",376.4,300
"Acer rubrum",377.4,404
"Acer rubrum",368.4,402.3
"Acer rubrum",364.7,412.2
"Acer rubrum",370.7,424.4
"Acer rubrum",377,439.6
"Acer rubrum",372.1,466.6
"Acer rubrum",364.3,580.3
"Acer rubrum",386.2,85.1
"Acer rubrum",399.4,351
"Acer rubrum",389.6,348.6
"Acer rubrum",382.2,364.2
"Acer rubrum",387.4,372.7
"Acer rubrum",400,383.3
"Acer rubrum",400,388.2
"Acer rubrum",386.5,387.2
"Acer rubrum",383.4,391.1
"Acer rubrum",394,399.8
"Acer rubrum",400,403.7
"Acer rubrum",390.6,405.1
"Acer rubrum",392.9,408.6
"Acer rubrum",396.6,409.7
"Acer rubrum",395.3,414.6
"Acer rubrum",380.5,408.5
"Acer rubrum",382.3,401.2
"Acer rubrum",388.2,413.5
"Acer rubrum",388.8,415.3
"Acer rubrum",390,417.3
"Acer rubrum",392.7,421.7
"Acer rubrum",392.2,425.8
"Acer rubrum",400,436.2
"Acer rubrum",388.4,438.6
"Acer rubrum",386.7,435
"Acer rubrum",393.1,447.9
"Acer rubrum",393.7,453.4
"Acer rubrum",387.3,455.6
"Acer rubrum",389.5,447
"Acer rubrum",388.2,448.3
"Acer rubrum",383.6,453.9
"Ailanthus altissima",36.6,230.4
"Ailanthus altissima",37.4,231.3
"Ailanthus altissima",56.8,76.5
"Ailanthus altissima",98.9,166.3
"Ailanthus altissima",99.2,168.9
"Ailanthus altissima",96.6,169.3
"Ailanthus altissima",100.4,165.2
"Ailanthus altissima",100.2,166.2
"Ailanthus altissima",100,165.6
"Ailanthus altissima",229,12
"Ailanthus altissima",230.1,45.3
"Ailanthus altissima",291.4,25
"Ailanthus altissima",318.3,9.7
"Ailanthus altissima",329,12.1
"Ailanthus altissima",320.4,33.8
"Ailanthus altissima",337.1,27
"Ailanthus altissima",339.7,32
"Ailanthus altissima",338.4,31.1
"Ailanthus altissima",332.3,41.1
"Ailanthus altissima",334.2,44.1
