"site_code","count_id","line","species_id","liana","count","record_id","site_id","site_name","country","state_province","continent","lat","lon","min_elev","max_elev","precip"
"ALLPAHUA",104954,7,4351,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104955,4,4433,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104956,9,4491,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104957,3,4493,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104958,3,4493,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104959,7,4493,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104960,3,4495,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104961,5,4586,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104962,5,4596,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104963,7,4596,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104964,5,4609,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104965,1,4614,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104966,3,4621,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104967,7,4622,"",2,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104968,2,4633,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104969,1,4760,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104970,7,4762,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104971,4,4771,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104972,1,4772,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104973,2,4772,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104974,4,4772,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104975,7,4798,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104976,1,4823,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104977,6,4828,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104978,8,4859,"",2,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
