"Latin","gx","gy"
"Acalypha diversifolia",466,446.8
"Acalypha diversifolia",482,87
"Acalypha diversifolia",482.11,95.47
"Acalypha diversifolia",488.3,148.5
"Acalypha diversifolia",491.2,164.7
"Acalypha diversifolia",494.8,164.8
"Acalypha diversifolia",485.9,170.1
"Acalypha diversifolia",499.2,194.6
"Acalypha diversifolia",481.15,237.36
"Acalypha diversifolia",480.8,238.12
"Acalypha diversifolia",480.69,237.84
"Acalypha diversifolia",481.3,424.2
"Acalypha diversifolia",492.7,427.4
"Acalypha diversifolia",501.7,159.25
"Acalypha diversifolia",514,222.4
"Acalypha diversifolia",519.8,223.2
"Acalypha diversifolia",503.66,234.04
"Acalypha diversifolia",534.42,195.21
"Acalypha diversifolia",533.3,218.7
"Acalypha diversifolia",520.7,214.4
"Acalypha diversifolia",521.3,218.6
"Acalypha diversifolia",538.1,215.54
"Acalypha diversifolia",538.33,215.82
"Acalypha diversifolia",537.95,215.03
"Acalypha diversifolia",520.7,220.2
"Acalypha diversifolia",520.8,221.7
"Acalypha diversifolia",521.4,224.2
"Acalypha diversifolia",523.7,272.9
"Acalypha diversifolia",522.55,296.21
"Acalypha diversifolia",538.6,328.8
"Acalypha diversifolia",531,323.1
"Acalypha diversifolia",536.18,323.49
"Acalypha diversifolia",547.6,134.2
"Acalypha diversifolia",543.1,133.5
"Acalypha diversifolia",547.5,136
"Acalypha diversifolia",548.9,134.5
"Acalypha diversifolia",557.38,124.36
"Acalypha diversifolia",555.21,132.47
"Acalypha diversifolia",550.2,194.8
"Acalypha diversifolia",551.3,195.8
"Acalypha diversifolia",551.8,197.9
"Acalypha diversifolia",553.16,195.55
"Acalypha diversifolia",544.2,206.6
"Acalypha diversifolia",557,252.8
"Acalypha diversifolia",554.3,254
"Acalypha diversifolia",554,252.9
"Acalypha diversifolia",553.9,252.2
"Acalypha diversifolia",548.4,378.3
"Acalypha diversifolia",540.5,435.4
"Acalypha diversifolia",564.29,122.37
"Acalypha diversifolia",571.3,177.69
"Acalypha diversifolia",561.1,191.7
"Acalypha diversifolia",562.6,278.6
"Acalypha diversifolia",570.4,327.2
"Acalypha diversifolia",582.2,197.1
"Acalypha diversifolia",582.8,214.2
"Acalypha diversifolia",591.6,217.7
"Acalypha diversifolia",588.1,262
"Acalypha diversifolia",583.02,303.32
"Acalypha diversifolia",583.22,303.53
"Acalypha diversifolia",588.59,310.15
"Acalypha diversifolia",600.5,77.2
"Acalypha diversifolia",608,73.3
"Acalypha diversifolia",619.16,78.7
"Acalypha diversifolia",606.63,94.05
"Acalypha diversifolia",611.04,119.07
"Acalypha diversifolia",607.1,146.6
"Acalypha diversifolia",604.7,189.2
"Acalypha diversifolia",617.27,270.68
"Acalypha diversifolia",613.3,396.4
"Acalypha diversifolia",637.46,77.37
"Acalypha diversifolia",637.4,80.3
"Acalypha diversifolia",632,111.9
"Acalypha diversifolia",633.9,103.8
"Acalypha diversifolia",622.05,265.44
"Acalypha diversifolia",631.4,339.1
"Acalypha diversifolia",633.6,335.6
"Acalypha diversifolia",636.45,337.23
"Acalypha diversifolia",650.18,73.77
"Acalypha diversifolia",645.9,86.4
"Acalypha diversifolia",649.05,140.54
"Acalypha diversifolia",643.6,166.8
"Acalypha diversifolia",649.61,232.32
"Acalypha diversifolia",649.02,266.49
"Acalypha diversifolia",648.46,262.14
"Acalypha diversifolia",648.97,262.22
"Acalypha diversifolia",659.88,275.88
"Acalypha diversifolia",657.81,267.2
"Acalypha diversifolia",656.36,269.7
"Acalypha diversifolia",654.13,311.34
"Acalypha diversifolia",640.6,324.6
"Acalypha diversifolia",640,348.4
"Acalypha diversifolia",642.77,349.82
"Acalypha diversifolia",642.07,347.71
"Acalypha diversifolia",642.3,348.17
"Acalypha diversifolia",643.69,348.99
"Acalypha diversifolia",644.14,349.76
"Acalypha diversifolia",644.65,349.16
"Acalypha diversifolia",643.13,349.22
"Acalypha diversifolia",646,346.32
"Acalypha diversifolia",645.34,344.46
"Acalypha diversifolia",665.77,136.54
"Acalypha diversifolia",676.9,257.2
"Acalypha diversifolia",667.2,318.6
"Acalypha diversifolia",668.3,315.1
"Acalypha diversifolia",667.1,313.9
"Acalypha diversifolia",672.6,311.1
"Acalypha diversifolia",673.9,311.5
"Acalypha diversifolia",670.2,316.6
"Acalypha diversifolia",662.6,308.6
"Acalypha diversifolia",660.1,314.2
"Acalypha diversifolia",669.4,311.9
"Acalypha diversifolia",673.2,317.2
"Acalypha diversifolia",662,349
"Acalypha diversifolia",668.1,373.34
"Acalypha diversifolia",668.93,374.64
"Acalypha diversifolia",670.2,372.74
"Acalypha diversifolia",670.51,372.92
"Acalypha diversifolia",670.81,373.13
"Acalypha diversifolia",689.31,66.54
"Acalypha diversifolia",698.1,94.6
"Acalypha diversifolia",698.6,107.6
"Acalypha diversifolia",693.74,136.19
"Acalypha diversifolia",690.52,139.1
"Acalypha diversifolia",694.91,138.59
"Acalypha diversifolia",694.2,137.34
"Acalypha diversifolia",691.1,141
"Acalypha diversifolia",684.4,145.77
"Acalypha diversifolia",680.56,146.78
"Acalypha diversifolia",683.08,151.52
"Acalypha diversifolia",681.5,152.83
"Acalypha diversifolia",685.82,150.98
"Acalypha diversifolia",686.51,153.35
"Acalypha diversifolia",685.59,153.29
"Acalypha diversifolia",687.52,151.04
