"Latin","gx","gy"
"Fagus sylvatica",4390903.2,5661489.47
"Carpinus betulus",4390900.63,5661498.98
"Fagus sylvatica",4390901.29,5661499.47
"Fagus sylvatica",4390905.4,5661496.12
"Fagus sylvatica",4390906.67,5661496.15
"Fagus sylvatica",4390911.28,5661494.93
"Fagus sylvatica",4390910.35,5661493.12
"Fagus sylvatica",4390910.52,5661489.15
"Fagus sylvatica",4390908.25,5661490.28
"Fagus sylvatica",4390905.83,5661487.83
"Fagus sylvatica",4390905.15,5661486.58
"Fagus sylvatica",4390910.87,5661484.74
"Fraxinus excelsior",4390907.43,5661484.69
"Fagus sylvatica",4390905.33,5661486.53
"Fagus sylvatica",4390910.2,5661474.37
"Fagus sylvatica",4390911.42,5661473.1
"Fagus sylvatica",4390910.04,5661471.65
"Fraxinus excelsior",4390908.81,5661470.84
"Fagus sylvatica",4390908.5,5661469.57
"Fagus sylvatica",4390909.18,5661467.35
"Fagus sylvatica",4390911.4,5661468.86
"Fagus sylvatica",4390911.41,5661471.33
"Fraxinus excelsior",4390914.81,5661467.18
"Fagus sylvatica",4390912.14,5661465.73
"Fagus sylvatica",4390908.2,5661467.37
"Fagus sylvatica",4390907.19,5661452.02
"Fagus sylvatica",4390910.55,5661450.15
"Fagus sylvatica",4390911.06,5661450.15
"Fagus sylvatica",4390919.17,5661452.15
"Fagus sylvatica",4390922.12,5661457.06
"Fagus sylvatica",4390919.53,5661457.85
"Fagus sylvatica",4390923.72,5661459.11
"Fagus sylvatica",4390922.27,5661461.45
"Fagus sylvatica",4390921.78,5661461.92
"Fagus sylvatica",4390921.07,5661461.39
"Fagus sylvatica",4390920,5661461.78
"Fagus sylvatica",4390924.12,5661467.82
"Fagus sylvatica",4390921.25,5661471.55
"Fagus sylvatica",4390917.02,5661472.62
"Fagus sylvatica",4390916.59,5661475.72
"Fagus sylvatica",4390920.89,5661481.53
"Fagus sylvatica",4390917.45,5661483.56
"Fagus sylvatica",4390913.16,5661487.2
"Fagus sylvatica",4390921.18,5661495.23
"Fagus sylvatica",4390927.7,5661495.3
"Fagus sylvatica",4390926.43,5661490
"Fagus sylvatica",4390924.44,5661489.36
"Fagus sylvatica",4390920.61,5661489.18
"Fagus sylvatica",4390919.97,5661490.22
"Fagus sylvatica",4390924.21,5661482.79
"Fagus sylvatica",4390922.77,5661480.29
"Fagus sylvatica",4390925.97,5661482.35
"Fagus sylvatica",4390926.92,5661482.42
"Fagus sylvatica",4390929.6,5661480.65
"Fagus sylvatica",4390929.08,5661478.72
"Fagus sylvatica",4390930.79,5661472.67
"Fagus sylvatica",4390926.8,5661467.21
"Fagus sylvatica",4390928.32,5661464.93
"Fagus sylvatica",4390930.42,5661458.64
"Fagus sylvatica",4390932.85,5661456.58
"Fagus sylvatica",4390931.11,5661456.99
"Fagus sylvatica",4390928.93,5661454.27
"Fagus sylvatica",4390926.85,5661452.44
"Fagus sylvatica",4390930.8,5661450.37
"Fagus sylvatica",4390931.76,5661452.34
"Fagus sylvatica",4390932.06,5661453.39
"Fagus sylvatica",4390933.91,5661453.42
"Fagus sylvatica",4390937.69,5661450.04
"Fagus sylvatica",4390937.3,5661451
"Fagus sylvatica",4390938.58,5661451.26
"Fagus sylvatica",4390936.94,5661455.44
"Fagus sylvatica",4390937.5,5661457.96
"Fagus sylvatica",4390940.23,5661457.12
"Fagus sylvatica",4390939.84,5661459.61
"Fagus sylvatica",4390941.08,5661462.55
"Fagus sylvatica",4390937.51,5661461.44
"Fagus sylvatica",4390932.54,5661462.92
"Fagus sylvatica",4390932.78,5661467.65
"Fagus sylvatica",4390937.97,5661467.83
"Fagus sylvatica",4390934.23,5661471.78
"Fagus sylvatica",4390936.74,5661475.18
"Fagus sylvatica",4390939.23,5661473.61
"Fagus sylvatica",4390940.68,5661478.86
"Fagus sylvatica",4390940.73,5661479.94
"Fagus sylvatica",4390942.31,5661478.64
"Fagus sylvatica",4390942.24,5661479.8
